Source,Target,Branch,Value,T,X,Y,Path,Payment_Method,Medicine_Category
Card,Allergy,Kandy City,446635.7,0.4082,0.4082,0.2853,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.4286,0.4286,0.3287,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.449,0.449,0.3751,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.4694,0.4694,0.4241,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.4898,0.4898,0.4745,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.5102,0.5102,0.5255,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.5306,0.5306,0.5759,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.551,0.551,0.6249,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.5714,0.5714,0.6713,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.5918,0.5918,0.7147,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.6122,0.6122,0.7544,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.6327,0.6327,0.7903,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.6531,0.6531,0.8221,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.6735,0.6735,0.85,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.6939,0.6939,0.8742,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.7143,0.7143,0.895,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.7347,0.7347,0.9127,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.7551,0.7551,0.9276,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.7755,0.7755,0.9402,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.7959,0.7959,0.9507,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.8163,0.8163,0.9594,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.8367,0.8367,0.9667,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.8571,0.8571,0.9727,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.8776,0.8776,0.9776,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.898,0.898,0.9816,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.9184,0.9184,0.985,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.9388,0.9388,0.9877,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.9592,0.9592,0.99,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,0.9796,0.9796,0.9918,Card to Allergy,Card,Allergy
Card,Allergy,Kandy City,446635.7,1.0,1.0,0.9933,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.0,0.0,0.0067,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.0204,0.0204,0.0082,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.0408,0.0408,0.01,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.0612,0.0612,0.0123,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.0816,0.0816,0.015,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.102,0.102,0.0184,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.1224,0.1224,0.0224,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.1429,0.1429,0.0273,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.1633,0.1633,0.0333,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.1837,0.1837,0.0406,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.2041,0.2041,0.0493,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.2245,0.2245,0.0598,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.2449,0.2449,0.0724,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.2653,0.2653,0.0873,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.2857,0.2857,0.105,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.3061,0.3061,0.1258,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.3265,0.3265,0.15,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.3469,0.3469,0.1779,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.3673,0.3673,0.2097,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.3878,0.3878,0.2456,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.4082,0.4082,0.2853,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.4286,0.4286,0.3287,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.449,0.449,0.3751,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.4694,0.4694,0.4241,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.4898,0.4898,0.4745,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.5102,0.5102,0.5255,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.5306,0.5306,0.5759,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.551,0.551,0.6249,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.5714,0.5714,0.6713,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.5918,0.5918,0.7147,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.6122,0.6122,0.7544,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.6327,0.6327,0.7903,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.6531,0.6531,0.8221,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.6735,0.6735,0.85,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.6939,0.6939,0.8742,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.7143,0.7143,0.895,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.7347,0.7347,0.9127,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.7551,0.7551,0.9276,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.7755,0.7755,0.9402,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.7959,0.7959,0.9507,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.8163,0.8163,0.9594,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.8367,0.8367,0.9667,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.8571,0.8571,0.9727,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.8776,0.8776,0.9776,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.898,0.898,0.9816,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.9184,0.9184,0.985,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.9388,0.9388,0.9877,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.9592,0.9592,0.99,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,0.9796,0.9796,0.9918,Card to Allergy,Card,Allergy
Card,Allergy,Kurunegala,500584.51,1.0,1.0,0.9933,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.0,0.0,0.0067,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.0204,0.0204,0.0082,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.0408,0.0408,0.01,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.0612,0.0612,0.0123,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.0816,0.0816,0.015,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.102,0.102,0.0184,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.1224,0.1224,0.0224,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.1429,0.1429,0.0273,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.1633,0.1633,0.0333,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.1837,0.1837,0.0406,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.2041,0.2041,0.0493,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.2245,0.2245,0.0598,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.2449,0.2449,0.0724,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.2653,0.2653,0.0873,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.2857,0.2857,0.105,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.3061,0.3061,0.1258,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.3265,0.3265,0.15,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.3469,0.3469,0.1779,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.3673,0.3673,0.2097,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.3878,0.3878,0.2456,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.4082,0.4082,0.2853,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.4286,0.4286,0.3287,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.449,0.449,0.3751,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.4694,0.4694,0.4241,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.4898,0.4898,0.4745,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.5102,0.5102,0.5255,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.5306,0.5306,0.5759,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.551,0.551,0.6249,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.5714,0.5714,0.6713,Card to Allergy,Card,Allergy
Card,Allergy,Negombo,476104.79,0.5918,0.5918,0.7147,Card to Allergy,Card,Allergy
