Source,Target,Value,T,X,Y,Path,Payment_Method,Medicine_Category
Card,Allergy,3249102.14,1.0,1.0,0.9933,Card to Allergy,Card,Allergy
Card,Antibiotic,13101634.37,0.0,0.0,0.0067,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.0204,0.0204,0.0082,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.0408,0.0408,0.01,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.0612,0.0612,0.0123,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.0816,0.0816,0.015,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.102,0.102,0.0184,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.1224,0.1224,0.0224,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.1429,0.1429,0.0273,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.1633,0.1633,0.0333,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.1837,0.1837,0.0406,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.2041,0.2041,0.0493,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.2245,0.2245,0.0598,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.2449,0.2449,0.0724,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.2653,0.2653,0.0873,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.2857,0.2857,0.105,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.3061,0.3061,0.1258,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.3265,0.3265,0.15,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.3469,0.3469,0.1779,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.3673,0.3673,0.2097,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.3878,0.3878,0.2456,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.4082,0.4082,0.2853,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.4286,0.4286,0.3287,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.449,0.449,0.3751,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.4694,0.4694,0.4241,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.4898,0.4898,0.4745,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.5102,0.5102,0.5255,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.5306,0.5306,0.5759,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.551,0.551,0.6249,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.5714,0.5714,0.6713,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.5918,0.5918,0.7147,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.6122,0.6122,0.7544,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.6327,0.6327,0.7903,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.6531,0.6531,0.8221,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.6735,0.6735,0.85,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.6939,0.6939,0.8742,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.7143,0.7143,0.895,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.7347,0.7347,0.9127,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.7551,0.7551,0.9276,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.7755,0.7755,0.9402,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.7959,0.7959,0.9507,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.8163,0.8163,0.9594,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.8367,0.8367,0.9667,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.8571,0.8571,0.9727,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.8776,0.8776,0.9776,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.898,0.898,0.9816,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.9184,0.9184,0.985,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.9388,0.9388,0.9877,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.9592,0.9592,0.99,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,0.9796,0.9796,0.9918,Card to Antibiotic,Card,Antibiotic
Card,Antibiotic,13101634.37,1.0,1.0,0.9933,Card to Antibiotic,Card,Antibiotic
Card,Antifungal,2647402.72,0.0,0.0,0.0067,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.0204,0.0204,0.0082,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.0408,0.0408,0.01,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.0612,0.0612,0.0123,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.0816,0.0816,0.015,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.102,0.102,0.0184,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.1224,0.1224,0.0224,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.1429,0.1429,0.0273,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.1633,0.1633,0.0333,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.1837,0.1837,0.0406,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.2041,0.2041,0.0493,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.2245,0.2245,0.0598,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.2449,0.2449,0.0724,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.2653,0.2653,0.0873,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.2857,0.2857,0.105,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.3061,0.3061,0.1258,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.3265,0.3265,0.15,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.3469,0.3469,0.1779,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.3673,0.3673,0.2097,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.3878,0.3878,0.2456,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.4082,0.4082,0.2853,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.4286,0.4286,0.3287,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.449,0.449,0.3751,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.4694,0.4694,0.4241,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.4898,0.4898,0.4745,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.5102,0.5102,0.5255,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.5306,0.5306,0.5759,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.551,0.551,0.6249,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.5714,0.5714,0.6713,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.5918,0.5918,0.7147,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.6122,0.6122,0.7544,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.6327,0.6327,0.7903,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.6531,0.6531,0.8221,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.6735,0.6735,0.85,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.6939,0.6939,0.8742,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.7143,0.7143,0.895,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.7347,0.7347,0.9127,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.7551,0.7551,0.9276,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.7755,0.7755,0.9402,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.7959,0.7959,0.9507,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.8163,0.8163,0.9594,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.8367,0.8367,0.9667,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.8571,0.8571,0.9727,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.8776,0.8776,0.9776,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.898,0.898,0.9816,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.9184,0.9184,0.985,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.9388,0.9388,0.9877,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.9592,0.9592,0.99,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,0.9796,0.9796,0.9918,Card to Antifungal,Card,Antifungal
Card,Antifungal,2647402.72,1.0,1.0,0.9933,Card to Antifungal,Card,Antifungal
Card,Antiviral,3981751.59,0.0,0.0,0.0067,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.0204,0.0204,0.0082,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.0408,0.0408,0.01,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.0612,0.0612,0.0123,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.0816,0.0816,0.015,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.102,0.102,0.0184,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.1224,0.1224,0.0224,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.1429,0.1429,0.0273,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.1633,0.1633,0.0333,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.1837,0.1837,0.0406,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.2041,0.2041,0.0493,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.2245,0.2245,0.0598,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.2449,0.2449,0.0724,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.2653,0.2653,0.0873,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.2857,0.2857,0.105,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.3061,0.3061,0.1258,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.3265,0.3265,0.15,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.3469,0.3469,0.1779,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.3673,0.3673,0.2097,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.3878,0.3878,0.2456,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.4082,0.4082,0.2853,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.4286,0.4286,0.3287,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.449,0.449,0.3751,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.4694,0.4694,0.4241,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.4898,0.4898,0.4745,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.5102,0.5102,0.5255,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.5306,0.5306,0.5759,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.551,0.551,0.6249,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.5714,0.5714,0.6713,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.5918,0.5918,0.7147,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.6122,0.6122,0.7544,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.6327,0.6327,0.7903,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.6531,0.6531,0.8221,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.6735,0.6735,0.85,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.6939,0.6939,0.8742,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.7143,0.7143,0.895,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.7347,0.7347,0.9127,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.7551,0.7551,0.9276,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.7755,0.7755,0.9402,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.7959,0.7959,0.9507,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.8163,0.8163,0.9594,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.8367,0.8367,0.9667,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.8571,0.8571,0.9727,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.8776,0.8776,0.9776,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.898,0.898,0.9816,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.9184,0.9184,0.985,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.9388,0.9388,0.9877,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.9592,0.9592,0.99,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,0.9796,0.9796,0.9918,Card to Antiviral,Card,Antiviral
Card,Antiviral,3981751.59,1.0,1.0,0.9933,Card to Antiviral,Card,Antiviral
Card,Cardiac,14362091.74,0.0,0.0,0.0067,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.0204,0.0204,0.0082,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.0408,0.0408,0.01,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.0612,0.0612,0.0123,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.0816,0.0816,0.015,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.102,0.102,0.0184,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.1224,0.1224,0.0224,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.1429,0.1429,0.0273,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.1633,0.1633,0.0333,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.1837,0.1837,0.0406,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.2041,0.2041,0.0493,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.2245,0.2245,0.0598,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.2449,0.2449,0.0724,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.2653,0.2653,0.0873,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.2857,0.2857,0.105,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.3061,0.3061,0.1258,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.3265,0.3265,0.15,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.3469,0.3469,0.1779,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.3673,0.3673,0.2097,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.3878,0.3878,0.2456,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.4082,0.4082,0.2853,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.4286,0.4286,0.3287,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.449,0.449,0.3751,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.4694,0.4694,0.4241,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.4898,0.4898,0.4745,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.5102,0.5102,0.5255,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.5306,0.5306,0.5759,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.551,0.551,0.6249,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.5714,0.5714,0.6713,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.5918,0.5918,0.7147,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.6122,0.6122,0.7544,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.6327,0.6327,0.7903,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.6531,0.6531,0.8221,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.6735,0.6735,0.85,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.6939,0.6939,0.8742,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.7143,0.7143,0.895,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.7347,0.7347,0.9127,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.7551,0.7551,0.9276,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.7755,0.7755,0.9402,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.7959,0.7959,0.9507,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.8163,0.8163,0.9594,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.8367,0.8367,0.9667,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.8571,0.8571,0.9727,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.8776,0.8776,0.9776,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.898,0.898,0.9816,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.9184,0.9184,0.985,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.9388,0.9388,0.9877,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.9592,0.9592,0.99,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,0.9796,0.9796,0.9918,Card to Cardiac,Card,Cardiac
Card,Cardiac,14362091.74,1.0,1.0,0.9933,Card to Cardiac,Card,Cardiac
Card,Cough & Cold,9517395.48,0.0,0.0,0.0067,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.0204,0.0204,0.0082,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.0408,0.0408,0.01,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.0612,0.0612,0.0123,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.0816,0.0816,0.015,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.102,0.102,0.0184,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.1224,0.1224,0.0224,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.1429,0.1429,0.0273,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.1633,0.1633,0.0333,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.1837,0.1837,0.0406,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.2041,0.2041,0.0493,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.2245,0.2245,0.0598,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.2449,0.2449,0.0724,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.2653,0.2653,0.0873,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.2857,0.2857,0.105,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.3061,0.3061,0.1258,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.3265,0.3265,0.15,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.3469,0.3469,0.1779,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.3673,0.3673,0.2097,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.3878,0.3878,0.2456,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.4082,0.4082,0.2853,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.4286,0.4286,0.3287,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.449,0.449,0.3751,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.4694,0.4694,0.4241,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.4898,0.4898,0.4745,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.5102,0.5102,0.5255,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.5306,0.5306,0.5759,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.551,0.551,0.6249,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.5714,0.5714,0.6713,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.5918,0.5918,0.7147,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.6122,0.6122,0.7544,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.6327,0.6327,0.7903,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.6531,0.6531,0.8221,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.6735,0.6735,0.85,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.6939,0.6939,0.8742,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.7143,0.7143,0.895,Card to Cough & Cold,Card,Cough & Cold
Card,Cough & Cold,9517395.48,0.7347,0.7347,0.9127,Card to Cough & Cold,Card,Cough & Cold
